City,Temperature,Condition,Humidity,Wind
Mumbai,30.01,haze,74,4.63
Delhi,34.03,haze,52,3.09
Bengaluru,28.11,scattered clouds,60,7.72
Chennai,35.41,scattered clouds,57,5.14
Hyderabad,31.16,scattered clouds,55,4.63
Kolkata,32.97,haze,75,5.14
Ahmedabad,34.01,smoke,55,2.06
Pune,30.61,broken clouds,59,6.05
New Delhi,34.07,haze,52,3.09
Surat,31.9,haze,70,5.14
Ranchi,31.97,haze,55,2.06
Raipur,35.08,scattered clouds,52,4.63
Bhubaneswar,32.91,haze,62,4.12
Bhopal,31.68,overcast clouds,67,0.89
Puducherry,33.55,overcast clouds,52,6.11
Patna,38.98,haze,53,2.57
Lucknow,30.99,broken clouds,74,6.69
Kanpur,40.7,broken clouds,28,2.43
Jaipur,33.64,haze,55,3.6
Dehradun,32.32,overcast clouds,45,1.18
Chandigarh,40.24,scattered clouds,23,3.01
Thiruvananthapuram,25.95,drizzle,89,4.12
Srinagar,27.76,broken clouds,38,3.42
Amritsar,42.93,few clouds,28,2.57
Shimla,25.69,broken clouds,39,3.35
Solapur,31.36,broken clouds,54,6.37
Shillong,21.26,moderate rain,96,1.6
Salem,31.12,scattered clouds,74,2.57
Rourkela,34.42,overcast clouds,48,2.83
Rajkot,26.92,overcast clouds,74,5.24
Bhiwandi,29.97,moderate rain,65,3.96
Bhilai,35.01,overcast clouds,49,3.37
Bhavnagar,32.9,scattered clouds,66,2.06
Belagavi,25.02,broken clouds,88,6.69
Bareilly,42.83,broken clouds,24,2.76
Aurangabad,29.99,haze,84,2.06
Port Blair,27.84,moderate rain,89,1.54
Panjim,28.88,broken clouds,79,5.66
Nellore,36.27,overcast clouds,34,7.28
Nashik,27.87,overcast clouds,75,4.97
Nanded,35.08,broken clouds,59,2.06
Nagpur,33.99,haze,66,3.09
Mysuru,26.0,scattered clouds,69,5.66
Meerut,39.76,broken clouds,30,2.4
Mangaluru,27.51,broken clouds,89,5.14
Madurai,29.97,broken clouds,66,5.14
Ludhiana,45.0,scattered clouds,14,1.46
Kozhikode,27.56,overcast clouds,84,3.52
Kota,38.33,scattered clouds,36,4.81
Kohima,21.28,light rain,97,0.63
Jalandhar,45.26,clear sky,11,2.16
Jodhpur,35.8,overcast clouds,36,2.46
Jamshedpur,37.9,haze,39,2.06
Jammu,40.41,clear sky,11,4.45
Jalgaon,34.07,broken clouds,52,3.91
Jabalpur,36.47,scattered clouds,46,2.57
